row_index,actual_name,guessed_name,confidence
10107,Fidelity Select Enterprise Technology Services Portfolio (FBSOX),Vanguard 500 Index Fund Admiral Shares (VFIAX),75
10107,Janus Henderson Global Technology and Innovation Fund Class T (JAGTX),Vanguard Growth Index Fund,75
8888,NYLI CBRE Real Estate Class A (CLARX),American Funds Growth Fund of America,70
8888,Davis Real Estate Fund Class A (RPFRX),Vanguard 500 Index Fund,70
3952,TCW Global Real Estate Fund Class N (TGRYX),Vanguard Total Stock Market Index Fund,75
3952,Natixis Funds Trust IV AEW Global Focused Real Estate Fund Class Y (NRFYX),Vanguard 500 Index Fund,70
360,PGIM Jennison Energy Infrastructure Fund-Class Z (PRPZX),Vanguard Balanced Index Fund,75
360,Invesco SteelPath MLP Select 40 Fund Class A (MLPFX),Vanguard Wellington Fund,75
3781,American Century Global Real Estate Fund C Class (ARYTX),American Funds Growth Fund of America,75
3781,PGIM Select Real Estate Fund- Class A (SREAX),American Funds Growth Fund of America,75
5349,Virtus KAR Health Sciences Fund Class A (RAGHX),Vanguard 500 Index Fund Admiral Shares,65
5349,Alger Health Sciences Fund Class C (AHSCX),American Funds Washington Mutual Investors Fund,75
4060,Eaton Vance Worldwide Health Sciences Fund Class A (ETHSX),Vanguard Wellington Fund,75
4060,Perkins Discovery Fund (PDFDX),Vanguard 500 Index Fund Admiral Shares,85
9429,DWS RREEF Real Estate Securities Fund - Class A (RRRAX),Vanguard 500 Index Fund,70
9429,Principal Real Estate Securities Fund Institutional Class (PIREX),Vanguard 500 Index Fund,75
7732,Dunham Real Estate Stock Fund Class N (DNREX),Vanguard 500 Index Fund Investor Shares (VFINX),75
7732,Rydex Real Estate Fund Class H (RYHRX),Vanguard Growth Index Fund,65
2471,Emerald Finance and Banking Innovation Fund - C (HSSCX),Fidelity Contrafund,75
2471,Hennessy Large Cap Financial Fund Investor Class (HLFNX),Vanguard 500 Index Fund,75
1954,Rydex Financial Services Fund Class A (RYFNX),Fidelity Magellan Fund,75
1954,John Hancock Regional Bank Fund Class I (JRBFX),Vanguard 500 Index Fund,75
10950,DWS Digital Horizons Fund - Class A (COMAX),American Funds Growth Fund of America,75
10950,T. Rowe Price Global Technology Fund (PRGTX),Vanguard Growth Index Fund,75
2957,Third Avenue International Real Estate Value Fund Founders Shares (REIFX),Vanguard 500 Index Fund,75
2957,PGIM Global Real Estate Fund- Class Z (PURZX),Vanguard 500 Index Fund,75
2791,Easterly Global Real Estate Fund Class I (JARIX),Vanguard Total Stock Market Index Fund,75
2791,PGIM Global Real Estate Fund- Class C (PURCX),American Funds Investment Company of America,75
8584,Principal Real Estate Securities Fund Class A (PRRAX),American Funds Investment Company of America,70
8584,Nomura Real Estate Securities Fund Class A (IRSAX),American Funds Growth Fund of America,75
11410,Victory RS Science and Technology Fund Class A (RSIFX),Fidelity Contrafund,75
11410,Rydex Electronics Fund Class H (RYSAX),Fidelity Contrafund,70
5770,The Hartford Healthcare Fund Class Y (HGHYX),Vanguard Wellesley Income Fund,75
5770,Live Oak Health Sciences Fund (LOGSX),Vanguard 500 Index Fund Admiral Shares,75
8108,Columbia Real Estate Equity Fund Class A (CREAX),American Funds Growth Fund of America,75
8108,PGIM US Real Estate Fund- Class Z (PJEZX),Vanguard Total Stock Market Index Fund,85
8048,Knights of Columbus Real Estate Fund I Shares (KCRIX),Vanguard Total Stock Market Index Fund,75
5268,Eaton Vance Worldwide Health Sciences Fund Class I (EIHSX),Vanguard Wellesley Income Fund,75
5268,Lord Abbett Health Care Fund Class A (LHCAX),Vanguard Growth Index Fund,70
11648,BlackRock Technology Opportunities Fund Investor C Shares (BGSCX),Fidelity Contrafund,75
11648,Nomura Science and Technology Fund Class A (WSTAX),Fidelity Contrafund,75
10022,Rydex Internet Fund Class H (RYIAX),Fidelity Contrafund,75
2439,Hennessy Large Cap Financial Fund Institutional Class (HILFX),Vanguard Growth Index Fund,75
2439,Rydex Banking Fund Class A (RYBKX),American Funds Growth Fund of America,75
8019,Neuberger Real Estate Fund A Class (NREAX),American Funds Growth Fund of America,70
8019,NAA Risk Managed Real Estate Fund Institutional (GURIX),Vanguard 500 Index Fund,65
11072,Rydex Internet Fund Class Investor (RYIIX),Vanguard Growth Index Fund,70
1883,T. Rowe Price Financial Services Fund (PRISX),Vanguard 500 Index Fund,85
1883,Rydex Banking Fund Class H (RYKAX),Fidelity Contrafund,75
2564,MFS Global Real Estate Fund Class C (MGLCX),Fidelity Contrafund,75
2564,PGIM Select Real Estate Fund- Class Z (SREZX),Vanguard 500 Index Fund,75
