Morningstar Category,Name_1,Name_2,3-year Rank_1,3-year Rank_2,Expense Ratio - Net_1,3 Year Sharpe Ratio_1,Standard Deviation_1,3 Yr_1,Beta_1,Manager Tenure_1,Inception Date_1,Assets (Millions)_1,Turnover Rates_1,Load (Y/N)_1,NTF_1,Expense Ratio - Net_2,3 Year Sharpe Ratio_2,Standard Deviation_2,3 Yr_2,Beta_2,Manager Tenure_2,Inception Date_2,Assets (Millions)_2,Turnover Rates_2,Load (Y/N)_2,NTF_2,interestingness
Communications,Rydex Telecommunications Fund Class C (RYCSX),Fidelity Select Communication Services Portfolio (FBMPX),88.0,4.0,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,16.853801998717778
Communications,Gabelli Media Mogul Fund (MOGLX),Fidelity Select Communication Services Portfolio (FBMPX),100.0,4.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,16.22358428793213
Communications,Rydex Telecommunications Fund Class A (RYTLX),Fidelity Select Communication Services Portfolio (FBMPX),81.0,4.0,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,15.339224895802472
Communications,Rydex Telecommunications Fund Class H (RYMAX),Fidelity Select Communication Services Portfolio (FBMPX),82.0,4.0,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,15.322522421145312
Communications,Rydex Telecommunications Fund Class C (RYCSX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),88.0,45.0,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,15.09152126506574
Communications,Rydex Telecommunications Fund Class Investor (RYMIX),Fidelity Select Communication Services Portfolio (FBMPX),80.0,4.0,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,14.750666976834305
Communications,Fidelity Select Communication Services Portfolio (FBMPX),Fidelity Select Wireless Portfolio (FWRLX),4.0,92.0,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,14.008096757322658
Communications,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class C (RYCSX),100.0,88.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,13.855382647532634
Communications,Gabelli Media Mogul Fund (MOGLX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),100.0,45.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,13.721889653769983
Communications,Rydex Telecommunications Fund Class A (RYTLX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),81.0,45.0,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,13.576944162150436
Communications,Rydex Telecommunications Fund Class H (RYMAX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),82.0,45.0,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,13.560241687493274
Communications,Rydex Telecommunications Fund Class Investor (RYMIX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),80.0,45.0,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,12.98838624318227
Communications,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class A (RYTLX),100.0,81.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,12.747640578840814
Communications,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class H (RYMAX),100.0,82.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,12.728615403422028
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Fidelity Select Communication Services Portfolio (FBMPX),94.0,4.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,12.708182583997523
Communications,Gabelli Media Mogul Fund (MOGLX),Rydex Telecommunications Fund Class Investor (RYMIX),100.0,80.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,12.29951874625044
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),94.0,45.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,11.87158301472312
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class C (RYCSX),94.0,88.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,11.184221095631703
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class A (RYTLX),94.0,81.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0165,0.8,15.57,17.54,0.83,28 years,04/01/1998,12.1,159.0,Y,N,10.076479026939882
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class H (RYMAX),94.0,82.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0163999999999999,0.8,15.57,17.53,0.83,28 years,04/01/1998,12.1,159.0,N,N,10.057453851521096
Communications,Rydex Telecommunications Fund Class C (RYCSX),Fidelity Select Wireless Portfolio (FWRLX),88.0,92.0,0.0237999999999999,0.75,15.56,16.65,0.83,28 years,04/01/1998,12.1,159.0,Y,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,10.047512881939102
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Rydex Telecommunications Fund Class Investor (RYMIX),94.0,80.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0139999999999999,0.82,15.59,17.8,0.84,28 years,04/01/1998,12.1,159.0,N,Y,9.743444261879194
Communications,T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),Fidelity Select Wireless Portfolio (FWRLX),45.0,92.0,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,9.675864910184975
Communications,Fidelity Select Telecommunications Portfolio (FSTCX),Gabelli Media Mogul Fund (MOGLX),94.0,100.0,0.0075,0.48,16.9,13.22,0.61,5 years,07/29/1985,212.1,50.0,N,Y,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,9.491793575033087
Communications,Gabelli Media Mogul Fund (MOGLX),Fidelity Select Wireless Portfolio (FWRLX),100.0,92.0,0.0091,0.32,18.85,11.05,1.07,9 years,12/01/2016,4.63,14.0,N,N,0.0070999999999999,0.86,13.42,16.53,0.91,1 year,09/21/2000,291.13,14.0,N,Y,9.467353432037452
Communications,Fidelity Select Communication Services Portfolio (FBMPX),T. Rowe Price Communications & Technology Fund Investor Class (PRMTX),4.0,45.0,0.0067,2.1,17.23,41.19,1.2,1 year,06/30/1986,2708.63,126.0,N,Y,0.0077,1.4,15.79,27.22,1.13,1 year,10/13/1993,9858.59,38.4,N,Y,9.185490529015741
